,Rank,Name,Team,Position,ProjectedPoints,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
508,511,Ryan Miller,TB,WR,2.2,,,,,,,,,
509,512,Mitchell Trubisky,Buf,QB,2.1,,,,,,,,,
510,513,Mac Jones,SF,QB,2.1,RB,MIN,63.2,6.03,452.0,48.0,76.0,5.7,6.0
511,514,Tanner McKee,Phi,QB,2.1,,,,,,,,,
512,515,Brandon Allen,Ten,QB,2.0,RB,NYJ,148.0,13.04,569.0,95.0,204.0,20.4,9.0
513,516,Braxton Berrios,Hou,WR,1.9,,,,,,,,,
514,517,Kyle Allen,Det,QB,1.9,,,,,,,,,
515,518,Velus Jones Jr.,NO,RB,0.7,,,,,,,,,
516,519,LaJohntay Wester,Bal,WR,0.4,,,,,,,,,
517,520,Kameron Johnson,TB,WR,0.1,,,,,,,,,
518,521,Trent Taylor,SF,WR,0.0,,,,,,,,,
519,522,Taysom Hill,NO,TE,0.0,,,,,,,,,
520,523,Juwann Winfree,Hou,WR,0.0,,,,,,,,,
521,524,Travis Homer,Chi,RB,0.0,,,,,,,,,
522,525,Irv Smith Jr.,Hou,TE,0.0,WR,SEA,33.0,3.09,1866.0,21.0,48.0,4.4,8.0
523,526,Alexander Mattison,Mia,RB,0.0,,,,,,,,,
524,527,Drew Lock,Sea,QB,0.0,,,,,,,,,
525,528,Deshaun Watson,Cle,QB,0.0,,,,,,,,,
526,529,Michael Burton,Den,RB,0.0,,,,,,,,,
527,530,Case Keenum,Chi,QB,0.0,,,,,,,,,
528,531,Josh Johnson,Wsh,QB,0.0,,,,,,,,,
529,532,Tyree Jackson,Wsh,TE,0.0,,,,,,,,,
530,533,Andrew Beck,NYJ,RB,0.0,,,,,,,,,
531,534,Donald Parham Jr.,Pit,TE,0.0,,,,,,,,,
532,535,Salvon Ahmed,Ind,RB,0.0,,,,,,,,,
533,536,Reggie Gilliam,Buf,RB,0.0,,,,,,,,,
534,537,Trishton Jackson,Ari,WR,0.0,,,,,,,,,
535,538,Rondale Moore,Min,WR,0.0,WR,CHI,43.5,4.07,524.0,31.0,59.0,4.7,5.0
536,539,Brevin Jordan,Hou,TE,0.0,,,,,,,,,
537,540,Kene Nwangwu,NYJ,RB,0.0,,,,,,,,,
538,541,Kenny Yeboah,Det,TE,0.0,,,,,,,,,
539,542,Shane Zylstra,Det,TE,0.0,,,,,,,,,
540,543,Patrick Taylor Jr.,SF,RB,0.0,,,,,,,,,
541,544,D.J. Montgomery,Ind,WR,0.0,WR,PHI,17.9,2.06,1073.0,10.0,28.0,2.8,9.0
542,545,David Sills V,Atl,WR,0.0,,,,,,,,,
543,546,Treylon Burks,Ten,WR,0.0,,,,,,,,,
544,547,Jelani Woods,NYJ,TE,0.0,,,,,,,,,
545,548,Sam Howell,Phi,QB,0.0,,,,,,,,,
546,549,David Bell,Cle,WR,0.0,RB,DET,60.3,5.12,565.0,42.0,74.0,6.7,8.0
547,550,Ko Kieft,TB,TE,0.0,,,,,,,,,
548,551,Pierre Strong Jr.,Cle,RB,0.0,,,,,,,,,
549,552,Keaontay Ingram,KC,RB,0.0,,,,,,,,,
550,553,John FitzPatrick,GB,TE,0.0,,,,,,,,,
551,554,James Mitchell,Car,TE,0.0,,,,,,,,,
552,555,Tyler Badie,Den,RB,0.0,,,,,,,,,
553,556,Skylar Thompson,Pit,QB,0.0,,,,,,,,,
554,557,Dareke Young,Sea,WR,0.0,,,,,,,,,
555,558,Jake Tonges,SF,TE,0.0,,,,,,,,,
556,560,Jonathan Mingo,Dal,WR,0.0,,,,,,,,,
557,561,Will Levis,Ten,QB,0.0,,,,,,,,,
558,562,Stetson Bennett IV,LAR,QB,0.0,,,,,,,,,
559,563,Tank Dell,Hou,WR,0.0,,,,,,,,,
560,564,Eric Gray,NYG,RB,0.0,,,,,,,,,
561,565,Kenny McIntosh,Sea,RB,0.0,,,,,,,,,
562,566,Aidan O'Connell,LV,QB,0.0,,,,,,,,,
563,567,Deneric Prince,NE,RB,0.0,,,,,,,,,
564,568,Jason Brownlee,KC,WR,0.0,,,,,,,,,
565,569,Irvin Charles,NYJ,WR,0.0,,,,,,,,,
566,570,Ben Sims,GB,TE,0.0,,,,,,,,,
567,571,Ben VanSumeren,Phi,RB,0.0,,,,,,,,,
568,572,Brady Russell,Sea,RB,0.0,,,,,,,,,
569,573,Tommy DeVito,NE,QB,0.0,,,,,,,,,
570,574,Travis Vokolek,Ari,TE,0.0,,,,,,,,,
571,575,Jonathon Brooks,Car,RB,0.0,,,,,,,,,
572,576,Ja'Lynn Polk,NE,WR,0.0,,,,,,,,,
573,577,Erick All Jr.,Cin,TE,0.0,WR,ARI,39.0,4.03,1301.0,26.0,53.0,4.6,8.0
574,578,Bub Means,NO,WR,0.0,,,,,,,,,
575,579,Casey Washington,Atl,WR,0.0,,,,,,,,,
576,580,Devin Culp,TB,TE,0.0,,,,,,,,,
577,581,Jacob Cowing,SF,WR,0.0,,,,,,,,,
578,582,Sione Vaki,Det,RB,0.0,,,,,,,,,
579,583,Tahj Washington,Mia,WR,0.0,,,,,,,,,
580,584,Johnny Wilson,Phi,WR,0.0,,,,,,,,,
581,585,Tanner McLachlan,Cin,TE,0.0,,,,,,,,,
582,586,Bryce Ford-Wheaton,NYG,WR,0.0,RB,CLE,130.8,11.11,283.0,85.0,171.0,17.4,9.0
583,587,British Brooks,Hou,RB,0.0,,,,,,,,,
584,588,Colson Yankoff,Wsh,TE,0.0,,,,,,,,,
585,589,Joshua Cephus,Jax,WR,0.0,,,,,,,,,
586,590,Cam Grandy,Cin,TE,0.0,,,,,,,,,
587,591,Brycen Tremayne,Car,WR,0.0,,,,,,,,,
588,592,Gavin Bartholomew,Min,TE,4.9,,,,,,,,,
589,593,Quinn Ewers,Mia,QB,0.0,,,,,,,,,
590,594,Phil Mafah,Dal,RB,0.0,,,,,,,,,
591,595,Graham Mertz,Hou,QB,0.0,,,,,,,,,
592,596,Thomas Fidone II,NYG,TE,0.0,,,,,,,,,
593,597,Kurtis Rourke,SF,QB,0.0,,,,,,,,,
594,599,Dominic Lovett,Det,WR,0.0,,,,,,,,,
595,600,Riley Leonard,Ind,QB,0.0,,,,,,,,,
596,601,Will Howard,Pit,QB,0.0,,,,,,,,,
597,602,Raheim Sanders,Cle,RB,0.0,,,,,,,,,
598,603,Lan Larison,NE,RB,0.0,,,,,,,,,
599,605,AJ McCarron,Cin,QB,0.0,,,,,,,,,
600,608,Matthew Slater,NE,WR,0.0,,,,,,,,,
601,610,Brian Hoyer,LV,QB,0.0,RB,SF,149.0,13.05,190.0,67.0,210.0,31.5,14.0
602,618,Robert Tonyan,KC,TE,0.0,,,,,,,,,
603,645,Hunter Renfrow,Car,WR,0.0,,,,,,,,,
604,683,Damien Harris,Buf,RB,0.0,,,,,,,,,
605,699,Mike Williams,LAC,WR,0.0,WR,NE,165.5,14.10,36.0,130.0,206.0,18.8,14.0
606,707,DeVante Parker,Phi,WR,0.0,,,,,,,,,
607,715,Derek Carr,NO,QB,0.0,,,,,,,,,
608,738,Gunner Olszewski,NYG,WR,0.0,,,,,,,,,
609,764,Devin Duvernay,Chi,WR,0.0,,,,,,,,,
610,849,Matt Bushman,KC,TE,0.0,PK,WAS,140.5,12.08,118.0,94.0,184.0,17.5,12.0
611,998,John Stephens Jr.,Dal,TE,0.0,,,,,,,,,
