,Rank,Name,Team,Position,ProjectedPoints,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
480,483,Hunter Long,Jax,TE,4.5,,,,,,,,,
481,484,Justin Watson,Hou,WR,4.5,,,,,,,,,
482,485,Laviska Shenault Jr.,Buf,WR,4.5,,,,,,,,,
483,486,Trent Sherfield Sr.,Den,WR,4.5,,,,,,,,,
484,487,David Martin-Robinson,Ten,TE,4.5,RB,ATL,2.1,1.02,1632.0,1.0,5.0,0.8,5.0
485,488,Blake Whiteheart,Cle,TE,4.4,,,,,,,,,
486,489,Brenden Bates,Cle,TE,4.4,,,,,,,,,
487,490,Jackson Hawes,Buf,TE,4.4,,,,,,,,,
488,491,Connor Heyward,Pit,TE,4.4,,,,,,,,,
489,492,Feleipe Franks,Atl,TE,4.4,,,,,,,,,
490,494,Chris Manhertz,NYG,TE,4.3,,,,,,,,,
491,495,Devontez Walker,Bal,WR,4.2,,,,,,,,,
492,496,Jack Stoll,NO,TE,4.2,,,,,,,,,
493,497,Simi Fehoko,Ari,WR,4.2,,,,,,,,,
494,498,Drew Ogletree,Ind,TE,4.1,,,,,,,,,
495,499,Cedrick Wilson Jr.,NO,WR,4.1,,,,,,,,,
496,500,Anthony Gould,Ind,WR,4.1,QB,IND,165.5,14.10,18.0,131.0,195.0,17.8,11.0
497,501,David Moore,Car,WR,4.0,,,,,,,,,
498,502,Ashton Dulin,Ind,WR,4.0,,,,,,,,,
499,503,Robbie Ouzts,Sea,RB,3.9,,,,,,,,,
500,504,Kylen Granson,Phi,TE,3.8,,,,,,,,,
501,505,Johnny Wilson,Phi,WR,3.8,,,,,,,,,
502,506,Kevin Austin Jr.,NO,WR,3.8,,,,,,,,,
503,507,Stone Smartt,NYJ,TE,3.7,,,,,,,,,
504,508,Steven Sims,Sea,WR,3.2,,,,,,,,,
505,509,Nikko Remigio,KC,WR,2.9,,,,,,,,,
506,510,DeAndre Carter,Cle,WR,2.9,,,,,,,,,
507,511,Travis Homer,Chi,RB,2.8,,,,,,,,,
508,512,Tyson Bagent,Chi,QB,2.5,,,,,,,,,
509,513,Nick Mullens,Jax,QB,2.4,,,,,,,,,
510,514,Jarrett Stidham,Den,QB,2.4,,,,,,,,,
511,515,Taylor Heinicke,LAC,QB,2.4,,,,,,,,,
512,516,Malik Willis,GB,QB,2.4,,,,,,,,,
513,517,Zach Wilson,Mia,QB,2.4,,,,,,,,,
514,518,Andy Dalton,Car,QB,2.3,,,,,,,,,
515,519,Cooper Rush,Bal,QB,2.3,,,,,,,,,
516,520,LeQuint Allen Jr.,Jax,RB,2.3,QB,BUF,25.5,3.01,1922.0,13.0,37.0,4.7,7.0
517,521,Jacoby Brissett,Ari,QB,2.2,,,,,,,,,
518,522,Aidan O'Connell,LV,QB,2.2,,,,,,,,,
519,523,Hendon Hooker,Det,QB,2.2,,,,,,,,,
520,524,Davis Mills,Hou,QB,2.2,,,,,,,,,
521,525,Drew Lock,Sea,QB,2.2,,,,,,,,,
522,526,Joshua Dobbs,NE,QB,2.1,,,,,,,,,
523,527,Charlie Jones,Cin,WR,2.1,,,,,,,,,
524,528,Mitchell Trubisky,Buf,QB,2.1,,,,,,,,,
525,529,Tanner McKee,Phi,QB,2.1,,,,,,,,,
526,530,Mac Jones,SF,QB,2.1,RB,MIN,61.5,6.02,694.0,46.0,75.0,5.9,6.0
527,531,Brandon Allen,Ten,QB,2.0,RB,NYJ,149.9,13.06,462.0,89.0,210.0,23.2,9.0
528,532,Raheem Blackshear,Car,RB,2.0,,,,,,,,,
529,533,Braxton Berrios,Hou,WR,1.9,,,,,,,,,
530,534,Avery Williams,Phi,RB,1.4,,,,,,,,,
531,535,Tyler Goodson,Ind,RB,1.4,,,,,,,,,
532,536,Dylan Laube,LV,RB,1.2,,,,,,,,,
533,537,Xavier Smith,LAR,WR,1.1,WR,SEA,34.3,3.10,2328.0,22.0,52.0,4.5,8.0
534,538,Dameon Pierce,Hou,RB,1.0,,,,,,,,,
535,539,Tom Kennedy,Det,WR,0.8,,,,,,,,,
536,540,Eric Gray,NYG,RB,0.8,,,,,,,,,
537,541,Mason Kinsey,Ten,WR,0.7,,,,,,,,,
538,542,Trey Palmer,TB,WR,0.7,,,,,,,,,
539,543,Julius Chestnut,Ten,RB,0.6,,,,,,,,,
540,544,LaJohntay Wester,Bal,WR,0.4,,,,,,,,,
541,545,Isaiah Williams,Cin,WR,0.4,,,,,,,,,
542,546,Jimmy Horn Jr.,Car,WR,0.4,,,,,,,,,
543,547,Tyler Scott,Chi,WR,0.2,,,,,,,,,
544,548,Jha'Quan Jackson,Ten,WR,0.2,,,,,,,,,
545,549,Chris Moore,Wsh,WR,0.0,,,,,,,,,
546,551,Robert Tonyan,KC,TE,0.0,,,,,,,,,
547,552,Laquon Treadwell,Ind,WR,0.0,,,,,,,,,
548,553,Nick Vannett,Min,TE,0.0,,,,,,,,,
549,554,River Cracraft,Wsh,WR,0.0,,,,,,,,,
550,555,Trent Taylor,SF,WR,0.0,,,,,,,,,
551,556,Keith Kirkwood,Bal,WR,0.0,,,,,,,,,
552,557,Kyle Allen,Det,QB,0.0,,,,,,,,,
553,558,Mike White,Buf,QB,0.0,,,,,,,,,
554,559,Phillip Dorsett,LV,WR,0.0,,,,,,,,,
555,560,Taysom Hill,NO,TE,0.0,,,,,,,,,
556,561,Trayveon Williams,Cle,RB,0.0,,,,,,,,,
557,562,Trevor Siemian,Ten,QB,0.0,,,,,,,,,
558,564,Juwann Winfree,Hou,WR,0.0,,,,,,,,,
559,565,Brett Rypien,Min,QB,0.0,,,,,,,,,
560,566,Easton Stick,Atl,QB,0.0,,,,,,,,,
561,567,Jeff Wilson Jr.,SF,RB,0.0,,,,,,,,,
562,569,Mecole Hardman,GB,WR,0.0,,,,,,,,,
563,571,Myles Gaskin,Bal,RB,0.0,,,,,,,,,
564,572,Nyheim Miller-Hines,LAC,RB,0.0,,,,,,,,,
565,573,Miles Boykin,Chi,WR,0.0,,,,,,,,,
566,574,Irv Smith Jr.,Hou,TE,0.0,WR,SEA,34.3,3.10,2328.0,22.0,52.0,4.5,8.0
567,575,Alexander Mattison,Mia,RB,0.0,,,,,,,,,
568,576,Mike Boone,Mia,RB,0.0,,,,,,,,,
569,577,Deshaun Watson,Cle,QB,0.0,,,,,,,,,
570,578,Robbie Chosen,SF,WR,0.0,,,,,,,,,
571,579,Teddy Bridgewater,TB,QB,0.0,,,,,,,,,
572,580,Case Keenum,Chi,QB,0.0,,,,,,,,,
573,581,Josh Johnson,Wsh,QB,0.0,,,,,,,,,
574,582,Tyree Jackson,Wsh,TE,0.0,,,,,,,,,
575,583,Lil'Jordan Humphrey,NYG,WR,0.0,RB,MIN,105.1,9.09,2583.0,67.0,149.0,14.4,6.0
576,584,Gunner Olszewski,NYG,WR,0.0,,,,,,,,,
577,585,D'Ernest Johnson,Bal,RB,0.0,,,,,,,,,
578,586,Andrew Beck,NYJ,RB,0.0,,,,,,,,,
579,587,Stephen Carlson,Chi,TE,0.0,,,,,,,,,
580,588,Jakob Johnson,Hou,RB,0.0,,,,,,,,,
581,589,Trenton Irwin,Jax,WR,0.0,,,,,,,,,
582,590,Donald Parham Jr.,Pit,TE,0.0,,,,,,,,,
583,591,Cam Akers,NO,RB,0.0,,,,,,,,,
584,592,Jalen Reagor,LAC,WR,0.0,,,,,,,,,
585,593,Ke'Shawn Vaughn,SF,RB,0.0,,,,,,,,,
586,594,Darrynton Evans,Buf,RB,0.0,WR,TB,31.4,3.07,1423.0,20.0,45.0,4.1,9.0
587,595,KJ Hamler,Buf,WR,0.0,,,,,,,,,
588,596,Tyler Johnson,NYJ,WR,0.0,,,,,,,,,
589,597,Quintez Cephus,Hou,WR,0.0,,,,,,,,,
590,598,Josiah Deguara,Ari,TE,0.0,,,,,,,,,
591,599,Harrison Bryant,Hou,TE,0.0,,,,,,,,,
592,602,Albert Okwuegbunam,LV,TE,0.0,,,,,,,,,
593,603,Collin Johnson,LV,WR,0.0,,,,,,,,,
594,604,K.J. Osborn,Wsh,WR,0.0,,,,,,,,,
595,605,James Proche II,Ten,WR,0.0,RB,BUF,31.9,3.08,2910.0,19.0,47.0,4.9,7.0
596,607,Isaiah Hodgins,SF,WR,0.0,,,,,,,,,
597,608,Marquez Callaway,LV,WR,0.0,,,,,,,,,
598,609,JaMycal Hasty,NE,RB,0.0,,,,,,,,,
599,610,Salvon Ahmed,Ind,RB,0.0,,,,,,,,,
600,611,Reggie Gilliam,Buf,RB,0.0,,,,,,,,,
601,612,Malik Taylor,Det,WR,0.0,,,,,,,,,
602,613,John Wolford,Jax,QB,0.0,,,,,,,,,
603,614,Sean McKeon,Ind,TE,0.0,,,,,,,,,
604,615,Trishton Jackson,Ari,WR,0.0,,,,,,,,,
605,617,Jonathan Ward,NYG,RB,0.0,,,,,,,,,
606,618,Lawrence Cager,Wsh,TE,0.0,,,,,,,,,
607,619,Matt Sokol,Buf,TE,0.0,,,,,,,,,
608,620,Kristian Wilkerson,Buf,WR,0.0,,,,,,,,,
609,621,Michael Carter,Ari,RB,0.0,,,,,,,,,
610,622,Trey Sermon,Pit,RB,0.0,,,,,,,,,
611,623,Terrace Marshall Jr.,Phi,WR,0.0,,,,,,,,,
612,624,Rondale Moore,Min,WR,0.0,WR,CHI,44.7,4.09,895.0,32.0,62.0,4.6,5.0
613,625,Trey Lance,LAC,QB,0.0,,,,,,,,,
614,626,Jermar Jefferson,Ten,RB,0.0,,,,,,,,,
615,628,Gary Brightwell,Cin,RB,0.0,,,,,,,,,
616,629,Demetric Felton,Wsh,RB,0.0,,,,,,,,,
617,630,Jacob Harris,TB,WR,0.0,,,,,,,,,
618,631,Brevin Jordan,Hou,TE,0.0,,,,,,,,,
619,633,Kene Nwangwu,NYJ,RB,0.0,,,,,,,,,
620,634,Zach Davidson,Buf,TE,0.0,,,,,,,,,
621,635,Sam Ehlinger,Den,QB,0.0,,,,,,,,,
622,636,Ben Skowronek,Pit,WR,0.0,,,,,,,,,
623,637,Jaret Patterson,LAC,RB,0.0,,,,,,,,,
624,638,Kenny Yeboah,Det,TE,0.0,,,,,,,,,
625,639,Cody White,Sea,WR,0.0,,,,,,,,,
626,640,Deon Jackson,Det,RB,0.0,,,,,,,,,
627,641,Adam Prentice,Den,RB,0.0,,,,,,,,,
628,642,Giovanni Ricci,Min,TE,0.0,,,,,,,,,
629,643,Shane Zylstra,Det,TE,0.0,,,,,,,,,
630,644,Michael Bandy,Den,WR,0.0,,,,,,,,,
631,645,Patrick Taylor Jr.,SF,RB,0.0,,,,,,,,,
632,647,Tyler Mabry,Car,TE,0.0,,,,,,,,,
633,648,D.J. Montgomery,Ind,WR,0.0,WR,PHI,18.8,2.07,1331.0,12.0,30.0,2.5,9.0
634,649,David Sills V,Atl,WR,0.0,,,,,,,,,
635,650,Treylon Burks,Ten,WR,0.0,,,,,,,,,
636,651,Skyy Moore,SF,WR,0.0,,,,,,,,,
637,652,Velus Jones Jr.,NO,RB,0.0,,,,,,,,,
638,653,Hassan Haskins,LAC,RB,0.0,,,,,,,,,
639,654,Zamir White,LV,RB,0.0,,,,,,,,,
640,655,Desmond Ridder,Cin,QB,0.0,,,,,,,,,
641,656,Tyrion Davis-Price,GB,RB,0.0,RB,BUF,154.9,13.11,230.0,103.0,203.0,19.7,7.0
642,657,Jelani Woods,Ind,TE,0.0,,,,,,,,,
643,658,Greg Dulcich,NYG,TE,0.0,,,,,,,,,
644,659,David Bell,Cle,WR,0.0,RB,DET,59.5,5.11,734.0,43.0,74.0,6.2,8.0
645,660,Ko Kieft,TB,TE,0.0,,,,,,,,,
646,661,Erik Ezukanma,Mia,WR,0.0,,,,,,,,,
647,662,Keaontay Ingram,KC,RB,0.0,,,,,,,,,
648,663,Teagan Quitoriano,Atl,TE,0.0,,,,,,,,,
649,664,Cole Turner,Wsh,TE,0.0,,,,,,,,,
650,665,John FitzPatrick,GB,TE,0.0,,,,,,,,,
651,666,Bailey Zappe,KC,QB,0.0,,,,,,,,,
652,667,Bam Knight,Ari,RB,0.0,,,,,,,,,
653,668,Nick Muse,Phi,TE,0.0,,,,,,,,,
654,669,James Mitchell,Car,TE,0.0,,,,,,,,,
655,670,Tyler Badie,Den,RB,0.0,,,,,,,,,
656,672,Samori Toure,Chi,WR,0.0,,,,,,,,,
657,673,Skylar Thompson,Pit,QB,0.0,,,,,,,,,
658,674,Dareke Young,Sea,WR,0.0,,,,,,,,,
659,675,Chris Oladokun,KC,QB,0.0,,,,,,,,,
660,676,Brittain Brown,Chi,RB,0.0,,,,,,,,,
661,677,Brandon Smith,NYJ,WR,0.0,,,,,,,,,
662,678,Lance McCutcheon,Pit,WR,0.0,,,,,,,,,
663,679,Jake Tonges,SF,TE,0.0,,,,,,,,,
664,681,Quintin Morris,Jax,TE,0.0,,,,,,,,,
665,682,Shane Buechele,Buf,QB,0.0,,,,,,,,,
666,683,Kendric Pryor,Cin,WR,0.0,,,,,,,,,
667,684,Malik Davis,Dal,RB,0.0,,,,,,,,,
668,685,Ronnie Rivers,LAR,RB,0.0,,,,,,,,,
669,686,Andre Baccellia,Ari,WR,0.0,,,,,,,,,
670,688,Dennis Houston,TB,WR,0.0,,,,,,,,,
671,689,Brandon Johnson,Pit,WR,0.0,,,,,,,,,
672,690,Tay Martin,Wsh,WR,0.0,,,,,,,,,
673,691,Braylon Sanders,Wsh,WR,0.0,,,,,,,,,
674,692,Maurice Alexander,Chi,WR,0.0,,,,,,,,,
675,693,Deuce Vaughn,Dal,RB,0.0,,,,,,,,,
676,694,Will Levis,Ten,QB,0.0,,,,,,,,,
677,695,Stetson Bennett IV,LAR,QB,0.0,,,,,,,,,
678,696,Tank Dell,Hou,WR,0.0,,,,,,,,,
679,697,Cameron Latu,Phi,TE,0.0,,,,,,,,,
680,698,Sean Clifford,GB,QB,0.0,,,,,,,,,
681,699,Justin Shorter,LV,TE,0.0,,,,,,,,,
682,701,Israel Abanikanda,GB,RB,0.0,,,,,,,,,
683,702,Lew Nichols,Pit,RB,0.0,,,,,,,,,
684,703,Will Mallory,Ind,TE,0.0,,,,,,,,,
685,704,Zack Kuntz,NYJ,TE,0.0,,,,,,,,,
686,705,Kenny McIntosh,Sea,RB,0.0,,,,,,,,,
687,706,Jake Haener,NO,QB,0.0,,,,,,,,,
688,707,Dorian Thompson-Robinson,Phi,QB,0.0,RB,ATL,2.1,1.02,1632.0,1.0,5.0,0.8,5.0
689,708,Ronnie Bell,Det,WR,0.0,,,,,,,,,
690,709,Clayton Tune,Ari,QB,0.0,,,,,,,,,
691,710,Brayden Willis,SF,TE,0.0,,,,,,,,,
692,711,Jalen Brooks,Dal,WR,0.0,,,,,,,,,
693,712,A.T. Perry,Den,WR,0.0,,,,,,,,,
694,713,Deneric Prince,NE,RB,0.0,,,,,,,,,
695,714,Jason Brownlee,KC,WR,0.0,,,,,,,,,
696,716,Rakim Jarrett,TB,WR,0.0,,,,,,,,,
697,717,Malik Cunningham,Bal,WR,0.0,,,,,,,,,
698,718,Irvin Charles,NYJ,WR,0.0,,,,,,,,,
699,719,Elijah Cooks,Phi,WR,0.0,,,,,,,,,
700,720,Ben Sims,GB,TE,0.0,,,,,,,,,
